,A,L05,LIT7,LITall,AR7,ARall,X7,Xall,Xfull
2025-06-09,48979.269931896764,48573.64152352815,48500.525783984005,53085.63784684543,48939.617477208456,48572.15894040557,48975.6286333613,48538.55873618162,48504.674519255386
2025-06-10,49347.61602136906,48281.22055322928,50014.16034752796,53727.19963731224,48822.28409051238,48705.850187492644,49345.9349546353,49107.54531117675,49131.21764800416
2025-06-11,52346.27196333651,53221.51178012431,52749.898406154614,60026.23713449251,52470.032895558965,54727.56607005056,52349.43721768186,53181.659873398195,53183.48496986256
2025-06-12,50196.23578347172,50760.48015922558,49819.19491017172,54876.86363752082,50266.376673653445,51462.12207525025,50193.799851626645,50399.399140790396,50422.37319898885
2025-06-13,20348.13337965479,20315.158003617198,21345.304998278723,24741.418173491973,20542.376342688367,20724.560110766255,20344.504069450963,20294.50987002893,20312.77494830386
2025-06-14,21579.41496830643,21794.084490457448,22339.991814049645,25072.915739099673,21745.698559088458,22428.98332730336,21578.08981150976,21588.68687994642,21578.586756351207
2025-06-15,48006.161117151954,47480.898100451464,48189.88921544691,51750.540734922826,47924.64954297069,47223.059656366546,48006.43673582825,47922.706997890724,47926.92697889405
2025-06-16,54320.93015027473,51165.72322639685,55097.95986352145,56420.787146553164,54882.90795450598,51772.60328086508,54330.04477775593,51936.885041007765,52084.652444651176
2025-06-17,52142.264604602286,52634.11393971554,52328.60364091103,56468.94122025161,52066.445803677525,52236.65470089222,52142.498707993014,54172.51860175101,54173.49060776875
2025-06-18,48157.21541497225,48495.04405345429,48313.46229493809,52713.10438138233,48106.298259991905,48899.5694275398,48156.08155517154,47715.7630339637,47736.74569961792
2025-06-19,48384.793208338335,47953.330251709165,48077.9425487352,50074.32806244719,48433.15139786105,49037.38533811192,48384.558942922224,47907.806847344094,47993.434127489236
2025-06-20,19219.48870365695,19183.726691468964,19373.799808488347,21866.29539164599,19156.28521592756,19912.846973656087,19218.567907519584,19236.79077430253,19223.33497438925
2025-06-21,20063.702051392087,18840.639269954114,20147.417723982828,20924.74075423413,20077.171465684645,18920.92048360041,20062.921728412297,19479.432534357664,19603.759925280232
2025-06-22,49185.319243705395,48929.45178299254,49142.445049546135,50657.332872236235,49292.11381948157,47265.43363288707,49185.65799791272,48543.18055284539,48555.485949203634
2025-06-23,48571.075255540556,46635.75513643556,48785.2510650786,51423.2289710752,48726.733456955124,48603.30553997004,48571.36556910707,48487.00213883561,48527.084429266804
2025-06-24,53336.790554090665,54535.70213801727,54085.78743280985,58271.358470718624,53477.530110930835,54799.82881046523,53353.376973849896,53827.13287481167,53798.3830208718
2025-06-25,49188.861858831995,47442.42288831693,48837.32963369355,51104.0382877736,49146.717369922204,48080.12370698565,49185.94310282903,48644.87916902848,48726.32087633615
2025-06-26,48072.38641469698,46166.97126715295,47689.43358103968,49689.943938613855,48060.85759855974,46375.46042835276,48071.802043934535,46846.42663681265,47077.33726426422
2025-06-27,20044.54583821882,19582.1063284422,20145.574735158338,20735.593676640572,19882.023238107806,19403.325029428834,20039.23167005555,20017.777090323027,20005.480081244514
2025-06-28,19632.917518004306,19468.412507117268,20396.48448805496,22396.068518782424,19656.376874582755,19069.429615881607,19628.099271051295,19424.74706487139,19521.698421770183
2025-06-29,49519.03025645225,47389.65733569431,49395.64312955295,50834.256687672765,49364.01267528609,46428.38866753558,49514.37786836841,48576.80597254026,48724.39057438195
2025-06-30,47311.15365267365,46796.270547211556,47861.2678655794,51103.47851468935,47408.724991977135,47666.587888023,47332.399498289094,46826.28196450285,46840.40246391173
