日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,弃电量/kWh,日初储电量/kWh,日末储电量/kWh,日末规划目标/kWh
2025-08-15,41919.44931342387,24694.13160020709,8.491873870752897e-12,3.8827831616572446e-11,21680.192363856353,3216.1905196296298,3566.4447474814824,3566.4447474814824
2025-08-16,47118.50643281234,26934.486190321375,7.494449505429657e-12,3.106108525940954e-11,22040.2045597231,3566.4447474814824,8550.0,8550.0
2025-08-17,75513.95007289218,48160.29060562042,20.481066666675396,137.69302125335847,8637.27117050455,8550.0,8550.0,8550.0
2025-08-18,75031.58180580658,47806.775965748195,188.1865716000149,1277.3840008437462,6989.083795835819,8550.0,8550.0,8550.0
2025-08-19,72187.54037564907,45908.00746208387,157.9600558000184,1065.168662023952,4224.178395056132,8550.0,8550.0,8550.0
2025-08-20,72829.29645428149,46352.23166695523,2988.808265001342,18526.67059077116,1333.3857715813679,8550.0,8550.0,8550.0
2025-08-21,74597.69724809795,48251.05628754198,4.364680000012967,29.437584260046464,9588.51700663281,8550.0,4519.292654888889,4519.292654888889
2025-08-22,41828.53963990124,24695.092374106105,39.540045236676065,222.04744178280222,18785.60631557439,4519.292654888889,3777.686509111112,3777.686509111112
2025-08-23,47122.637150133334,26935.462607607347,7.077893826590298e-12,2.722624836692944e-11,16674.95986143187,3777.686509111112,8550.0,8550.0
2025-08-24,76792.51042021482,48944.19524293815,1.3426371126001868e-11,5.1475870344042104e-11,9224.719500315106,8550.0,8550.0,8550.0
2025-08-25,78811.48562032674,49704.136470825106,2.560796019679401e-11,9.78511085492073e-11,4095.2906623454023,8550.0,8550.0,8550.0
2025-08-26,80004.29691143785,50884.49695161038,5.70079346668186,39.768735223514454,10722.328946875781,8550.0,8550.0,8550.0
2025-08-27,82594.31078584472,52376.21955511648,14.042593333347018,94.54878091338253,10657.699157497114,8550.0,8550.0,8550.0
2025-08-28,72118.42888554733,47120.651605908264,78.80900753335246,531.2559177357015,2501.2622711447116,8550.0,3876.148406074074,3876.148406074074
2025-08-29,43547.10447624281,26013.276340000586,9.292677738415023e-12,3.3848910285794174e-11,17991.640976526232,3876.148406074074,4004.820461185187,4004.820461185187
2025-08-30,47546.58399333334,27351.485680287034,1.0346390411086759e-11,4.474046955138533e-11,21386.8217816724,4004.820461185187,8550.0,8550.0
2025-08-31,81021.05320188479,51560.21431588867,50.21658726667962,340.1318295265446,10798.001476964899,8550.0,8550.0,8550.0
2025-09-01,78824.13074628642,50082.8085655157,1.1674217148538446e-11,5.1666781075709874e-11,21786.792005771196,8550.0,8550.0,8550.0
2025-09-02,77211.07496753169,48941.594482393535,8.096634473986342e-12,3.2211321610020606e-11,19268.544838372854,8550.0,8550.0,8550.0
2025-09-03,76906.62477909053,48811.82617178414,7.954970016044172e-12,3.727651232132701e-11,17874.967344170378,8550.0,8550.0,8550.0
2025-09-04,72951.41147629877,47544.67270901738,8.956391184256063e-12,3.994634312221024e-11,20049.808541159247,8550.0,3959.7570878518527,3959.7570878518527
2025-09-05,41994.87533014486,25168.829434954692,9.066525308298878e-12,3.6110577639192343e-11,32482.22823329205,3959.7570878518527,3708.605058296296,3708.605058296296
2025-09-06,48055.67801969547,27792.446757806334,9.848122317634989e-12,4.12119334214367e-11,32309.180372636227,3708.605058296296,8550.0,8550.0
2025-09-07,75472.08706211936,48128.52727922901,7.87370169064161e-12,3.5479867488419356e-11,16744.465983547347,8550.0,8550.0,8550.0
2025-09-08,65973.96669207656,41023.362053792785,366.768656367481,2558.578146819451,3246.447982195897,8550.0,8550.0,8550.0
2025-09-09,72542.54831969054,45324.393297486444,8.986589250525867e-12,3.151853089633505e-11,15646.9042101902,8550.0,8550.0,8550.0
2025-09-10,71730.3652321325,44992.682256128464,296.3760166666792,1462.1306876417111,6456.178715930944,8550.0,8550.0,8550.0
2025-09-11,65005.12872464033,41941.61769834458,9.016787316795671e-12,3.0162464526029e-11,12348.050142900702,8550.0,4158.9918921481485,4158.9918921481485
2025-09-12,35743.35738011111,20466.594571667,1.0176748332924035e-11,3.993699415616447e-11,21757.38611024063,4158.9918921481485,3762.0705685925923,3762.0705685925923
2025-09-13,39795.72328108972,21703.0873738937,1.0123013538532177e-11,4.0825606228978023e-11,23674.12611439739,3762.0705685925923,8550.0,8550.0
2025-09-14,68084.06906108724,42423.13895178397,1.529154580737213e-11,5.4687702921718534e-11,4016.253068507797,8550.0,8550.0,8550.0
2025-09-15,63783.89064744281,39947.10286982902,1.171766666684563,7.893606150051479,4640.956614294927,8550.0,8550.0,8550.0
2025-09-16,68340.34621317696,42317.0756240443,8.238266666682497,55.381747666719534,5020.875669849487,8550.0,8550.0,8550.0
2025-09-17,64861.99231081153,40606.24216186197,45.60418120334608,301.5136960211398,919.3321287802594,8550.0,8550.0,8550.0
2025-09-18,63732.53101385516,40426.568536993786,21.105021571343006,81.92969373994785,5762.6094076755035,8550.0,4110.666878370371,4110.666878370371
2025-09-19,32939.68563474239,18169.7962213386,1.5698109478989863e-11,5.3619044981800814e-11,13921.464170695304,4110.666878370371,4066.90372162963,4066.90372162963
2025-09-20,37813.82730119177,20204.284372018912,121.67248573200939,440.2775564177398,14356.159013690423,4066.90372162963,8550.0,8550.0
2025-09-21,70543.22636872757,43772.177138890445,1.5689671784002712e-11,5.68723810268068e-11,8613.662578722904,8550.0,8550.0,8550.0
2025-09-22,69481.95533781647,43208.103852742344,14.993896333351856,101.0554626495613,5093.562236250221,8550.0,8550.0,8550.0
2025-09-23,69545.52605056626,43053.62546700109,73.57483230468384,370.19235755937245,3340.504729534058,8550.0,8550.0,8550.0
2025-09-24,70294.0540711498,43550.08267085378,1.3395728970522214e-11,4.7124155577726866e-11,5087.458667147264,8550.0,8550.0,8550.0
2025-09-25,65214.97427161728,41591.35484539857,15.371666666680596,103.49743166671647,5553.8116318403245,8550.0,4443.353687111113,4443.353687111113
2025-09-26,33581.19954886749,18547.71948299079,1.0911091474774537e-11,4.243323601521576e-11,13082.068404104499,4443.353687111113,4348.554583925927,4348.554583925927
2025-09-27,38060.814149117694,20424.513935044357,345.6645511329587,1304.6029599536566,12910.979874066681,4348.554583925927,8550.0,8550.0
2025-09-28,71458.02332664115,44446.749943438524,40.66479180201611,206.0450247100535,3804.3201315185515,8550.0,8550.0,8550.0
2025-09-29,71314.65695957615,44279.64745864754,44.82709364335015,224.7426389615781,4378.082481768094,8550.0,8550.0,8550.0
2025-09-30,71917.2923772856,44942.32405587281,30.079272133348148,203.23060216892512,2222.2731475835,8550.0,8550.0,8550.0
2025-10-01,71575.3862037893,44402.670321629994,1.459898868461096e-11,4.678024700943694e-11,18218.5330853837,8550.0,8550.0,8550.0
2025-10-02,65352.613426107826,41682.00281374491,1.2098322343945256e-11,3.530091619019515e-11,14125.6982383979,8550.0,4434.626484148149,4434.626484148149
2025-10-03,32600.3887666247,17719.243669864998,1.007194327939942e-11,3.8310913552663806e-11,21685.052174439024,4434.626484148149,4478.08301251852,4478.08301251852
2025-10-04,38226.56552852099,20499.74364568115,8.705480780690777e-12,3.014855498584268e-11,17559.579720900423,4478.08301251852,8550.0,8550.0
2025-10-05,69019.77827558108,42923.231749818864,1.155964213239713e-11,3.8404662117130785e-11,10333.400800298095,8550.0,8550.0,8550.0
2025-10-06,69846.26257044775,43582.80769231179,1.0365486247110312e-11,3.328343356479025e-11,8141.77036412344,8550.0,8550.0,8550.0
2025-10-07,69327.97467510124,43238.714391905436,1.2972289908930179e-11,3.861081276923528e-11,7366.375098353114,8550.0,8550.0,8550.0
2025-10-08,67043.43540325762,40782.74898145991,1.4178436202882949e-11,4.397921871124311e-11,6557.321528702854,8550.0,8550.0,8550.0
2025-10-09,61273.74321870947,38186.51307999149,1.576105912448611e-11,5.0477981961005725e-11,5621.305292201045,8550.0,4833.438565555556,4833.438565555556
2025-10-10,32003.55865409218,16750.437176753952,1.2566836460337072e-11,5.0028868603391176e-11,19185.371889236023,4833.438565555556,5172.426502962963,5172.426502962963
2025-10-11,36713.76373107654,19081.022869300497,1.1020684365092848e-11,3.980733453978757e-11,15740.166529996333,5172.426502962963,8550.0,8550.0
2025-10-12,67517.61829438189,41673.86485744675,20.929933333349958,98.03580773338797,5087.178861304864,8550.0,8550.0,8550.0
2025-10-13,68461.44391748478,42231.48453204434,1.6187495788244632e-11,5.543345582559312e-11,7417.755775981303,8550.0,8550.0,8550.0
2025-10-14,66865.77890768477,41176.170739730995,644.0701871333526,3226.497227925737,2541.837880153411,8550.0,8550.0,8550.0
2025-10-15,66151.62375660246,40462.02666346678,281.8704322520197,1881.6645353928475,456.1411501564149,8550.0,8550.0,8550.0
2025-10-16,64880.62820582223,40273.56053969098,1017.4250438833469,6942.4805208823145,2894.4850945427493,8550.0,4758.786332592593,4758.786332592593
2025-10-17,31711.80314157037,16407.231055297492,63.97041569386006,241.09116677630823,12512.38696312429,4758.786332592593,4955.095303259259,4955.095303259259
2025-10-18,35524.55735183704,18033.015705917023,1.3001155707570433e-11,4.5732545750354335e-11,12383.126035543874,4955.095303259259,8550.0,8550.0
2025-10-19,69241.55248551276,42289.95792111305,852.8284365546832,5545.126138521145,1946.3362026798209,8550.0,8550.0,8550.0
2025-10-20,70639.79929008642,43513.99581578266,723.718505768016,3498.496122140102,2746.722292934554,8550.0,8550.0,8550.0
2025-10-21,71491.07055780658,44079.22354669279,2.0953017099145654e-11,7.28643225755832e-11,846.8378298553732,8550.0,8550.0,8550.0
2025-10-22,73274.32960399918,44974.30323366835,284.15604724734834,1394.9641201799177,3720.3607799862916,8550.0,8550.0,8550.0
2025-10-23,69738.51170604856,43812.50055834256,1.3145096122713085e-11,4.9222190684483637e-11,5245.617566571424,8550.0,5905.066002444443,5905.066002444443
2025-10-24,32887.625155443624,17180.286359520695,175.13736647134527,963.9587353116025,11485.247305708459,5905.066002444443,5843.38768637037,5843.38768637037
2025-10-25,36288.44676644609,18694.469639979223,48.48463798786326,154.7922990881579,10802.854521916885,5843.38768637037,8550.0,8550.0
2025-10-26,72433.80610509383,44821.142636101795,1.7061907442439406e-11,5.7682299825501104e-11,3752.042014317187,8550.0,8550.0,8550.0
2025-10-27,72007.74047083539,44435.85825720233,258.8080809353525,1760.189785404952,4568.2019175721125,8550.0,8550.0,8550.0
2025-10-28,71375.0656384856,44182.71181061315,126.6862904293546,610.3106799156673,1292.7285810269912,8550.0,8550.0,8550.0
2025-10-29,72036.55565113992,44672.62327712661,2129.5070168506822,13366.534088164735,812.6316094586027,8550.0,8550.0,8550.0
2025-10-30,73911.26601600161,46317.32480479606,3.3346304666823494,15.619409105923275,7619.4280547379585,8550.0,6331.756355259259,6331.756355259259
2025-10-31,34116.87123854568,18030.005919179246,1.3198775405953711e-11,4.438029033160262e-11,6973.069608201026,6331.756355259259,6273.254835703705,6273.254835703705
