,A,L05,L6_plan,L6_adj,L6_both
2025-09-13,19476.62744508225,19934.606223512452,19483.205965703077,19211.068948740613,19144.018537531563
2025-09-14,43836.065796509494,42088.67063562177,43045.283680814246,43612.1433966252,43057.93126117652
2025-09-15,41636.77228515507,40247.23803036924,41675.88399335552,41230.20017597094,41345.11966728955
2025-09-16,44095.7599743558,43345.6283743693,43745.53505688881,43729.795950044645,43374.70145020225
2025-09-17,47053.90868522409,46616.57196705527,46919.05878037082,47329.23748128679,47224.829145999065
2025-09-18,44608.94293988508,42598.94463491829,44347.53735849576,44985.171071456505,44700.4632864979
2025-09-19,19397.89233546146,19382.84074334888,19324.973242202697,19370.700614701185,19299.367482782596
2025-09-20,20275.645708428223,20336.123007598086,20363.988063835288,19893.10428654183,19975.5750928255
2025-09-21,41355.94449678392,41430.93030906938,41247.13447817608,41045.66758725239,41009.95869011486
2025-09-22,49373.29985361528,47626.59966793208,48742.5812600472,48428.27254191214,47798.63427292016
2025-09-23,45375.48881671298,43948.066658556025,45063.99458607679,47169.029685536436,46867.649524389984
2025-09-24,43649.57169898418,44704.91911617688,44583.87189337018,43606.11598039597,43065.95354897844
2025-09-25,44461.38412435751,43511.065354294566,44381.441542142355,44590.92510877715,44536.0044026439
2025-09-26,20058.488420242295,19915.596611021265,19955.070842814705,19698.14573371906,19594.728156150508
2025-09-27,20841.99057224833,20868.240661367825,20948.73231317155,20834.359332289347,20938.782492391387
2025-09-28,47433.60900157305,45346.083556338184,47106.35834416266,46456.15263462143,46258.206769045166
2025-09-29,53055.72403132108,53124.20360250303,53025.50921680471,51369.85793096985,51462.151266147164
2025-09-30,50369.02267158622,47838.64450674998,48804.74882239536,51688.97154345943,50248.49527720826
2025-10-01,37303.32351985841,37918.71459012164,37577.08403384341,37174.84990535689,37437.598642439894
2025-10-02,41377.80680351573,41233.2223724094,41285.857774450196,40086.555313142184,39994.60628395504
2025-10-03,16466.066153069998,16266.656882877638,16435.858842747242,16235.891494590838,16205.684184197982
2025-10-04,18091.435248141344,17770.209396561997,18005.108827433545,17963.805744257446,17877.479323534346
2025-10-05,41795.40874014799,40681.94966130942,41173.22503697538,40627.288850344536,40005.28086459462
2025-10-06,42655.89143089446,43621.20964832873,43101.99477790667,42854.10027308427,43342.68304848763
2025-10-07,41316.27787542803,41189.82887524071,41494.192950384844,42302.412274287635,42179.286384835505
2025-10-08,42850.95043172211,44994.21111253889,42620.30879546787,40190.83443773941,39702.73795120182
2025-10-09,46445.027989388924,45203.75003807523,45903.50999167791,46099.95483098922,45561.67991231512
2025-10-10,18626.97446718083,18374.061038176078,18542.69218731887,18476.842598883562,18400.010265815188
2025-10-11,17949.471127462566,17933.162776184538,17916.790878320437,17755.270398309924,17729.638183983003
2025-10-12,44649.48396392892,41191.80789920295,44086.65743461925,43167.30833771257,43188.0725533747
2025-10-13,46973.17947444804,46633.198807520406,46879.55982605084,46347.948603265075,46243.08049624773
2025-10-14,52146.284344435684,50775.89014453466,51728.53099004933,52707.97923612618,52290.10611668221
2025-10-15,51535.75380388633,49208.54071820398,51002.83197127248,51828.165077238344,51291.63718704342
2025-10-16,46163.61159090747,45843.40244669186,46434.334376721745,47056.378592109046,46868.1418793972
2025-10-17,18898.507449012424,18165.811823147866,18760.496353506154,18660.584899836525,18522.573804306485
2025-10-18,19087.23276936498,18576.97640337028,18934.440268275106,18649.791288287564,18496.998787161465
2025-10-19,47141.70784569677,46449.747580216645,46566.162852994166,47839.553625406465,47489.101861519586
2025-10-20,47529.036835812694,46146.98810456497,46914.83220346161,48127.280942642734,47686.39457110426
2025-10-21,48532.11636827418,46133.5885955442,47774.98276285144,48681.48725245693,47934.26606611986
2025-10-22,47171.893385775365,48909.37298732564,47617.505795100704,46681.626448046285,46652.49693987462
2025-10-23,53214.969780417574,50472.797177685294,52180.128864118946,50310.48462342291,49277.305365365995
2025-10-24,19087.952763803114,18832.92936907329,19107.903398754326,18918.56556442081,18938.51619919092
2025-10-25,19027.231888957496,20243.411989508262,19447.36792722944,19598.59485087759,19945.587659990062
2025-10-26,50648.14997236804,49991.70151610632,50199.71047669707,49028.322146045924,48627.14016923628
2025-10-27,46710.0875417502,45856.814927364685,46578.19491096679,46841.15964646708,46769.86789194786
2025-10-28,48329.966492192805,46990.70688350818,47966.19009389572,47968.27718188646,47629.262847348
2025-10-29,48408.0381786789,48144.88693760266,48395.90101281738,50945.489769541426,50388.604987727216
2025-10-30,48399.97506143024,50257.611074737724,49594.64329407185,45827.75908268144,45799.32159935353
2025-10-31,19688.717819724185,19495.55344759571,19600.03417481294,19659.098907963264,19575.169830994593
2025-11-01,19140.726855330155,18512.32710362133,18969.575453288908,19017.5267395267,18878.098036734584
2025-11-02,47870.82512835871,48177.1305138145,48015.82146161637,47251.95115109729,47279.643251780595
2025-11-03,49756.81941601742,48937.24823500425,49252.128632394146,49882.22143743953,49368.769622830994
2025-11-04,48788.101985426874,47955.919808568906,48607.443459591625,48360.52149669035,48046.22078309403
2025-11-05,52866.756201076576,50954.174894697426,52398.18952797247,52559.886587469795,52099.18698662508
2025-11-06,49720.36217420656,49385.428077495686,49742.09995622731,50514.40650800167,50524.25498482957
2025-11-07,19741.890966902152,19517.545416580484,19623.072145172497,19546.329789969626,19421.12107189025
2025-11-08,19100.204700845075,19516.204690301794,19330.68748494133,19025.799704047808,19130.259594131745
2025-11-09,50383.288925208755,49644.08575128355,49794.056165967064,51046.96071921809,50908.92831414482
2025-11-10,51821.4789104975,51852.76806284959,51722.145050655025,51845.491155737516,51479.707998149075
2025-11-11,50481.871223595714,50095.36054429468,50298.410347595294,50093.25041180871,49909.78504805048
2025-11-12,52658.17714017028,52076.277287073404,52291.9332260483,51506.546384024135,51104.13420779339
2025-11-13,52402.7476198328,51243.708432233485,52065.6968785307,52149.98104426541,51813.54611670148
2025-11-14,20752.451846139807,19868.553818100012,20696.262141131643,20618.950058058886,20562.760353014888
2025-11-15,20491.038562394537,19992.061634519396,20182.94611031398,20069.395999282577,19761.30354718044
2025-11-16,53021.17242999974,53560.72607420219,53258.15613792525,52318.796675531354,52475.172114874185
2025-11-17,53028.15005108215,51808.77615502822,52713.28464358868,52550.17377127084,52207.82030061051
2025-11-18,53906.45727834036,53395.69748446216,53438.96016249925,53369.519547613025,52907.95057137237
2025-11-19,54504.87022418007,53985.37937167718,54436.32356583196,53412.53282414672,53356.186028682976
2025-11-20,52740.18581331121,51852.705430907045,52399.23864711915,52660.505855634285,52319.14118768275
