,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-05-25,35245.981169018574,35531.09357008751,35258.00892049929,35245.13566383479,35540.06349950058,35259.41402486824,35514.64359933762,35169.52943069328
2025-05-26,37512.60861795062,37775.21107613082,38394.64558714341,37527.42858282209,38890.95074836442,39520.86033499375,38030.590365283446,37968.96352047278
2025-05-27,33932.480681167515,37143.19255704753,34241.56459887082,34133.52677091395,37980.528488177566,34748.447760187024,36774.45416571854,34439.133813864406
2025-05-28,35264.02239968108,35775.95000405423,35300.87924972845,35205.22892463929,36054.154744624255,35348.31186422057,35668.70797776392,34811.81835351088
2025-05-29,38412.65303506613,39725.94525440361,37722.59827405867,38349.5609182549,39004.77039676189,37306.522011220135,40326.74163589452,37826.605530370995
2025-05-30,14330.20625364125,14380.877674160543,14342.158987560226,14352.062246269097,14423.663098564364,14406.800404591891,14368.92494024157,14532.74136400759
2025-05-31,14920.477392522174,15059.89390812066,14931.817373040049,14897.758571532788,15102.491648679674,14951.696292609675,15048.553927602785,14880.52344387973
2025-06-01,48256.883741652826,52901.3303799978,49919.49447761739,48426.82535936451,54025.574981042046,52776.080530993044,52019.39500123547,49681.49336068878
2025-06-02,48951.0150051906,49601.00857293166,48595.774990425285,49047.6991770857,49036.68851612099,48054.01434944502,50106.4575972249,49235.098776878105
2025-06-03,47477.46752317605,47036.50556692368,46853.95382352047,47495.71529543184,47367.92672168576,46893.87636271452,47306.149885506966,47676.47982002781
2025-06-04,48557.400121180275,50224.98976812488,48645.33943159963,48611.654953313366,50435.69964002944,48773.546319443536,50099.420891046335,48747.44746437479
2025-06-05,48578.49788881124,48893.56361840481,48222.82972344659,48652.9394810376,48512.90001437866,47777.72272912216,49190.38729726865,48338.86062918284
2025-06-06,22571.527520371972,21558.970923686724,22499.561467920408,22608.191480259957,21627.448627954695,22346.844672224892,21611.24103237882,22628.95821943322
2025-06-07,21338.384214991675,22726.85701973512,21268.55097978699,21305.964333791635,22658.44921798133,21059.416899080952,22765.56545726321,21079.97524904208
2025-06-08,45857.197378705954,46686.961482814084,46155.85969883699,45830.412207850735,47651.327360689625,46571.86926600274,46135.1294246642,45760.27047690674
2025-06-09,48448.25275391213,48966.52427362698,48429.67487218726,48515.283115539736,49009.088802208425,48513.8222822206,48979.269931896764,48573.64152352815
2025-06-10,48844.95053138166,49434.13570820498,48935.64525012497,48402.1841419206,49518.72192263926,48569.48616180788,49347.61602136906,48281.22055322928
2025-06-11,53090.464782317926,53450.80041270246,54678.28252763251,53111.72163557931,55006.4910070308,55969.226641420755,52346.27196333651,53221.51178012431
2025-06-12,50489.167743901926,50096.06825551235,50365.67306048228,50440.83756580279,50116.499501299746,50395.73507880392,50196.23578347172,50760.48015922558
2025-06-13,20312.633653126035,20281.915904421938,20245.370016738394,20304.170073255395,20343.13039033662,20275.806182449713,20348.13337965479,20315.158003617198
