日期,动态分时段费用,动态单λ费用,λ_am,λ_pm
2025-11-04,48903.46355833482,48786.30065833464,0.4,0.0
2025-11-05,51964.80230299757,51821.2050359658,0.8,0.6
2025-11-06,48749.18423799369,49219.5247722875,0.4,0.0
2025-11-07,19726.297953121415,19713.66567966591,0.4,0.0
2025-11-08,19567.74538315872,19512.80604277108,0.4,0.0
2025-11-09,49879.56532516447,49857.66625810429,0.4,0.0
2025-11-10,51860.9526462324,51794.74640504204,0.4,0.0
2025-11-11,50416.557163372934,49797.76426709887,0.8,0.0
2025-11-12,51934.26308039563,52115.62917393199,0.4,0.0
2025-11-13,49667.126680064655,49747.50392504044,0.6,0.0
2025-11-14,20193.974548770857,20254.04461186434,0.2,0.0
2025-11-15,20103.46794068157,20141.188426815173,0.2,0.0
2025-11-16,53873.898939784274,53879.50834958156,0.2,0.0
2025-11-17,50133.87429267933,50563.01109470589,0.5,0.0
2025-11-18,52700.95124747552,53017.15883783493,0.4,0.0
2025-11-19,53154.71751540277,53096.41000254655,0.5,0.0
2025-11-20,51767.630293815615,52032.32614432554,0.5,0.0
2025-11-21,19945.14311938802,19962.472673437143,0.5,0.0
2025-11-22,20710.641500463746,20944.381090166728,0.5,0.0
2025-11-23,54058.922433533786,54836.67253408405,0.5,0.0
2025-11-24,51119.82796077084,51534.895924135286,0.5,0.0
2025-11-25,51992.393782484556,51593.01264897647,0.6,0.2
2025-11-26,53033.1051069077,53300.78652363042,0.6,0.2
2025-11-27,54881.62651573578,54749.77113428429,0.8,0.2
2025-11-28,21076.267172693533,21233.192780400284,0.6,0.2
2025-11-29,23313.108091992377,23600.083199663703,0.8,0.2
2025-11-30,55420.738691672406,55887.13805525393,0.8,0.2
2025-12-01,59700.8315735031,59853.65173753341,0.8,0.2
2025-12-02,61558.78962178401,61839.8895168764,0.8,0.2
2025-12-03,60600.52201861758,61519.815879499336,0.8,0.2
2025-12-04,60425.76972039379,61090.099066564,0.8,0.0
2025-12-05,25349.15887642561,25815.985678767065,0.8,0.0
2025-12-06,25875.803307423088,26087.59532391485,0.8,0.0
2025-12-07,61366.72191762733,61793.53460472581,0.8,0.0
2025-12-08,60724.69258435511,61029.3926764718,0.6,0.0
2025-12-09,60845.84735689842,60677.83766926526,0.6,0.0
2025-12-10,60264.386933957554,60220.26657953562,0.5,0.0
2025-12-11,60190.194384346185,60194.97182131981,0.5,0.2
2025-12-12,26845.835477521337,27479.944812846625,0.5,0.4
2025-12-13,28883.359073607608,28951.103333874104,0.5,0.2
2025-12-14,62178.05409215822,62230.55338636219,0.5,0.2
2025-12-15,62029.311006062446,61561.88263114204,0.5,0.2
2025-12-16,62048.87693264081,62180.33419282272,0.6,0.4
2025-12-17,60888.60442758644,60717.38546791175,0.6,0.4
2025-12-18,60338.459377852196,60754.61674793205,1.0,0.4
2025-12-19,26612.693738151356,26620.639893456348,1.0,0.4
2025-12-20,25422.6098388814,26289.711638978508,1.0,0.5
2025-12-21,61285.58027564605,61124.2228011086,1.0,0.5
2025-12-22,60927.059604895,60750.49628434842,1.0,0.5
2025-12-23,60774.18334243072,60407.26750493983,0.8,0.2
2025-12-24,60672.698538688885,60557.31899951469,0.8,0.2
2025-12-25,61759.83565871254,61283.42530823932,1.0,0.5
2025-12-26,26653.21166227358,26717.022703430503,0.8,0.2
2025-12-27,25460.47218640784,25453.15096035643,0.8,0.8
2025-12-28,60071.754425795014,60116.113304807724,0.4,0.0
2025-12-29,60694.183053286986,59877.79617090721,0.4,0.8
2025-12-30,61345.947671457725,61348.24883304561,0.2,0.0
2025-12-31,60927.01355275134,60951.1097129002,0.4,0.0
