,A,L05,L6pred,L6pred_pure
2025-07-12,28082.66946654139,28051.451071221156,27592.88002937236,27772.51121355125
2025-07-13,52694.170428252306,53039.3184099836,53657.01838094283,53906.321339578615
2025-07-14,50886.89567808849,49198.29700564622,50807.34708099475,51457.99344505513
2025-07-15,58538.69299808966,57153.94997338432,58377.33180837956,58797.40970231947
2025-07-16,50178.54352175876,49550.61369655226,49741.23527813422,49754.24720667857
2025-07-17,51958.86735163933,51626.35091953308,52064.29838964422,51940.66159261274
2025-07-18,26739.685586201038,26564.515661007477,26538.470245656237,26651.34010664929
2025-07-19,25763.68175982785,25382.309783347395,25496.000921318482,25668.7402556743
2025-07-20,50371.36405808402,48777.359572613525,49321.12514029429,49930.04200415089
2025-07-21,52544.50881436412,52115.42527087335,52772.742403192184,52706.88244806698
2025-07-22,52688.54675796311,52407.42681985597,51830.72805768276,51643.52592515941
2025-07-23,57961.46475250399,56629.560901450575,57341.294364546506,57893.86395851789
2025-07-24,52296.01607206269,50803.453984275155,51532.343687578934,51969.52475253717
2025-07-25,24291.497759754984,24685.471604025035,24631.734161272198,24561.097955089463
2025-07-26,24828.439165583033,24898.94754123074,24791.747770828602,24811.723341227684
2025-07-27,54436.85895830495,53121.30010138202,53603.674848893585,53926.87693402995
2025-07-28,55562.71135024045,55640.82109236215,54716.64859124572,54965.98062591344
2025-07-29,53435.164720023575,51661.673602754876,52152.04774743922,52444.82988771914
2025-07-30,56292.93208469498,52124.764641187336,52740.75649878414,53543.07659724108
2025-07-31,53731.62481838905,52912.10221542445,53601.947266100746,53835.704706192155
2025-08-01,24020.527486807427,24180.52828423632,24039.65098228629,24053.20085019254
2025-08-02,23731.303381002777,23561.910927765035,23591.58629461305,23730.39042650688
2025-08-03,46117.360112383656,46113.428937366494,46649.0529509764,46499.641330737446
2025-08-04,48270.56179295231,48971.9843512761,49556.127976695076,49628.9974752955
2025-08-05,46060.5919620115,46542.07411789127,46714.540390904374,46475.88056025447
2025-08-06,49124.1310266901,46540.86654629391,46962.664950778424,47901.588723866094
2025-08-07,46777.832336996675,46036.40314472844,46559.15958951446,46855.620292759275
2025-08-08,23383.000155370533,23521.2004696056,23459.711632725615,23407.384006672983
2025-08-09,22942.104717830058,22902.698406917334,22948.81547086258,22982.4412402497
2025-08-10,47620.327856514385,45576.61561883995,46167.222567719815,46776.91838487952
2025-08-11,46793.4114119989,45912.280786376854,46464.188799182346,46651.448710174234
2025-08-12,47806.63022268599,47316.052602336844,47445.464187311976,47783.340562214216
2025-08-13,47316.49291829234,45072.10864573329,46208.578074845405,46630.35740415379
2025-08-14,46528.016277871924,46460.468770329724,46658.68466844099,46749.664606573984
2025-08-15,24365.9387671481,24207.56016564609,24273.01332674375,24387.46988800161
2025-08-16,24762.387866495126,23885.847079602932,24375.6765017956,24664.06984917757
2025-08-17,46324.965459949366,45224.60957403724,46214.51293963189,46589.74492184141
2025-08-18,44523.41532443818,44183.73974757746,46954.952594669856,47192.80045842804
2025-08-19,46005.862417220684,45599.96971852913,46382.851828013256,46631.86653335755
2025-08-20,56519.67087345347,55582.54455886882,56019.19149478655,56737.68196096281
2025-08-21,46793.7185449197,46903.219624334895,46943.54249579362,46951.57299871415
2025-08-22,26042.731221058522,25806.25806048206,25865.76230287747,26037.521452365643
2025-08-23,24461.91999657719,24174.401764902832,24326.51744900696,24412.83061408936
2025-08-24,44791.187709000005,45288.05978297696,45653.21854817636,45384.07895072071
2025-08-25,56430.807327315735,53358.34600788902,54338.49638828564,55309.394415972245
2025-08-26,45665.62079209282,46067.79249119841,45927.832714836695,45597.18348053274
2025-08-27,52729.27954777891,50172.01378667928,50363.16765172167,50823.43145487969
2025-08-28,50454.35495740234,49785.533399644584,50124.59922275787,49839.786202379015
2025-08-29,24111.559368715072,24029.236364562377,23993.25888734823,24068.055141671477
2025-08-30,24546.413678125344,24492.851425052682,24430.053120256925,24461.81746001346
2025-08-31,52650.2018657146,52478.424645650666,52776.948483771346,52687.55403702996
2025-09-01,39630.955821522264,38386.24739429531,38981.48986167349,39484.56692369099
2025-09-02,40393.06083252977,39127.419623266665,39763.998848568546,39921.880939760784
2025-09-03,40757.5238468565,40658.36108947481,40810.558579212746,40914.33353046569
2025-09-04,39756.8136942985,40198.51337687565,40303.805472074564,40186.240166999836
2025-09-05,19497.288609248706,19660.476913571583,19411.712617649933,19447.458489690143
2025-09-06,18611.966285302,19174.32501368152,18606.761056399646,18578.15421644489
2025-09-07,40256.79504193238,39446.803860007785,38560.213411655655,38213.60263835292
2025-09-08,42337.27081066707,42756.67327612017,42257.64425600329,42132.823358666086
2025-09-09,41369.207668341674,40124.084744930115,40484.135890374295,40449.0664587598
2025-09-10,47222.1498224818,45626.35724219557,47137.125112006484,47264.90555102711
2025-09-11,41083.20912149765,41560.44331422936,41074.43351820816,40885.27559837064
2025-09-12,17779.302589655992,17715.125227788754,17765.8179351644,17765.45361413426
2025-09-13,19476.62744508225,19934.606223512452,19461.304919709182,19482.66187956398
2025-09-14,43836.065796509494,42088.67063562177,42686.94616590413,43488.0981726252
2025-09-15,41636.77228515507,40247.23803036924,40741.828419898186,41017.655047754415
2025-09-16,44095.7599743558,43345.6283743693,43454.57089464688,43691.651764399365
2025-09-17,47053.90868522409,46616.57196705527,47129.91566606359,47466.32522863719
2025-09-18,44608.94293988508,42598.94463491829,43997.876943811534,44433.241202807716
2025-09-19,19397.89233546146,19382.84074334888,19236.265258235246,19305.93907061049
2025-09-20,20275.645708428223,20336.123007598086,20062.57757585771,20180.1854360556
2025-09-21,41355.94449678392,41430.93030906938,41348.83314538231,41420.745723142136
2025-09-22,49373.29985361528,47626.59966793208,48064.91476269027,48516.51143510768
2025-09-23,45375.48881671298,43948.066658556025,44904.094740258435,45322.8971097206
2025-09-24,43649.57169898418,44704.91911617688,44515.70209258345,45597.894137353775
2025-09-25,44461.38412435751,43511.065354294566,44040.0978039524,44328.24725783704
2025-09-26,20058.488420242295,19915.596611021265,19823.08512113565,19881.95994744388
2025-09-27,20841.99057224833,20868.240661367825,20780.851057111937,20859.233070431103
2025-09-28,47433.60900157305,45346.083556338184,47024.129593959224,47432.290016333645
2025-09-29,53055.72403132108,53124.20360250303,52802.79604155503,52891.14236132798
2025-09-30,50369.02267158622,47838.64450674998,47992.05226324008,48331.86390704953
2025-10-01,37303.32351985841,37918.71459012164,37698.952118914865,37426.93342991884
2025-10-02,41377.80680351573,41233.2223724094,40959.931710601115,40971.344435943414
2025-10-03,16466.066153069998,16266.656882877638,16478.47778204326,16518.53658314597
2025-10-04,18091.435248141344,17770.209396561997,17964.641713571116,18032.66724107667
2025-10-05,41795.40874014799,40681.94966130942,41108.75003218136,41670.66276426008
2025-10-06,42655.89143089446,43621.20964832873,43536.38628513602,44281.09596003344
2025-10-07,41316.27787542803,41189.82887524071,41205.65695991385,41235.08443647102
2025-10-08,42850.95043172211,44994.21111253889,43660.629223735705,43061.361647407044
2025-10-09,46445.027989388924,45203.75003807523,45565.845195489004,46009.62363877868
2025-10-10,18626.97446718083,18374.061038176078,18480.062469076387,18529.35022242851
2025-10-11,17949.471127462566,17933.162776184538,17867.429483636235,17863.869148970858
2025-10-12,44649.48396392892,41191.80789920295,43690.71758913063,44433.8071204149
2025-10-13,46973.17947444804,46633.198807520406,46629.75719530894,46776.58570949692
2025-10-14,52146.284344435684,50775.89014453466,50933.78091730827,51293.48518740922
2025-10-15,51535.75380388633,49208.54071820398,49646.48953286875,50410.92587586697
2025-10-16,46163.61159090747,45843.40244669186,45990.94060612297,45755.40734486663
2025-10-17,18898.507449012424,18165.811823147866,18856.341859928547,19009.557543838477
2025-10-18,19087.23276936498,18576.97640337028,18844.32328495622,18953.425423398687
2025-10-19,47141.70784569677,46449.747580216645,46096.49127393676,45935.41969190293
2025-10-20,47529.036835812694,46146.98810456497,45051.66366378228,45384.1023601991
2025-10-21,48532.11636827418,46133.5885955442,46176.01544700543,46722.165279643894
2025-10-22,47171.893385775365,48909.37298732564,47862.64016846291,47431.609351451974
2025-10-23,53214.969780417574,50472.797177685294,50531.90527093408,50992.16381463504
2025-10-24,19087.952763803114,18832.92936907329,19330.771427474436,19350.87240568197
2025-10-25,19027.231888957496,20243.411989508262,19348.317346597207,19131.40881999242
2025-10-26,50648.14997236804,49991.70151610632,50397.615235288984,50559.63465189024
2025-10-27,46710.0875417502,45856.814927364685,46673.85063572129,46827.41231472373
2025-10-28,48329.966492192805,46990.70688350818,47829.47754731889,48194.20032499786
2025-10-29,48408.0381786789,48144.88693760266,48727.30182839168,48476.213415958766
2025-10-30,48399.97506143024,50257.611074737724,49717.96476978153,49137.357363334064
2025-10-31,19688.717819724185,19495.55344759571,19549.34629841253,19584.656906123833
2025-11-01,19140.726855330155,18512.32710362133,20024.822351757437,20414.78413958761
2025-11-02,47870.82512835871,48177.1305138145,48088.36045129908,48300.69072976538
2025-11-03,49756.81941601742,48937.24823500425,47575.045930808454,48163.43652925944
2025-11-04,48788.101985426874,47955.919808568906,49078.168272562805,49352.14258782902
2025-11-05,52866.756201076576,50954.174894697426,49954.48571524903,50196.79163674008
2025-11-06,49720.36217420656,49385.428077495686,50367.223760374385,50476.3284723787
2025-11-07,19741.890966902152,19517.545416580484,19717.155756739827,19778.23322160438
2025-11-08,19100.204700845075,19516.204690301794,20021.90661556941,19912.150368601993
2025-11-09,50383.288925208755,49644.08575128355,50315.47924241394,50469.48707295492
2025-11-10,51821.4789104975,51852.76806284959,52754.87628714434,52768.01764427968
2025-11-11,50481.871223595714,50095.36054429468,50019.48173044034,50171.6342010283
2025-11-12,52658.17714017028,52076.277287073404,52362.97025397961,52696.148693975265
2025-11-13,52402.7476198328,51243.708432233485,51971.58057699451,52035.701805052995
2025-11-14,20752.451846139807,19868.553818100012,21886.622453485983,22281.587388253047
2025-11-15,20491.038562394537,19992.061634519396,20189.38841444042,20390.332751647817
2025-11-16,53021.17242999974,53560.72607420219,54016.97074918947,53983.9466910954
2025-11-17,53028.15005108215,51808.77615502822,53169.87998550489,53751.142810598605
2025-11-18,53906.45727834036,53395.69748446216,53479.33518654003,53916.54706421108
2025-11-19,54504.87022418007,53985.37937167718,55123.56994404883,55337.74076017329
2025-11-20,52740.18581331121,51852.705430907045,53177.568605418564,53541.3822407698
2025-11-21,21044.724874421463,20277.10574477775,21759.380436338255,22271.715410433706
2025-11-22,21272.759289936497,20637.48881370718,20804.99857790996,21082.620920194142
2025-11-23,53340.5391163851,53827.275108974274,54240.89805354924,54264.99417974487
2025-11-24,51654.18523621618,51360.13884205068,51841.41167182183,52563.57044276928
2025-11-25,54453.20469123036,53067.341467604274,52354.91550023238,52411.28446504074
2025-11-26,54588.44498676201,54143.375854023405,54813.0353889656,54851.65898801026
2025-11-27,54922.796252026565,54782.29041320094,55144.38892913825,55533.86672316268
2025-11-28,21108.46562254853,20988.902453125414,21764.108797880308,22184.468737039904
2025-11-29,22465.21708127534,21670.278239201176,22263.6977547092,22192.50692147645
2025-11-30,55365.670478186854,55957.68379628891,56674.22361939722,57068.52940769012
2025-12-01,60216.063258621696,59779.640144971454,59825.65902019563,60433.30304515386
2025-12-02,62161.02391871234,61750.973773316095,62289.84007182942,62403.68522973912
2025-12-03,62033.52550587486,61156.89831899004,62560.209205798725,63062.13913580624
2025-12-04,61309.28063072074,60935.20702250341,60343.1752338086,60364.71379096444
2025-12-05,25927.972645801776,25755.880772503395,27517.927856552487,27796.79141182466
2025-12-06,26873.076460179087,26087.595323914855,28438.081166407654,28599.87540765277
2025-12-07,61625.256759001124,60366.19481799722,61124.778417899375,60879.915198718685
2025-12-08,62371.56169041377,61137.4984445426,62623.71833165139,62758.136142098694
2025-12-09,61330.83805907522,60664.09520928335,61114.37007376122,61347.47119925235
2025-12-10,61128.90935118329,60225.49737177951,61631.36207211042,62085.38184672952
2025-12-11,60213.946754866716,60193.18531261201,59820.42284797118,60181.14969866257
2025-12-12,28225.80895499877,27479.944812846625,30400.569051780447,31101.823325625253
2025-12-13,27629.10715599974,28461.47094723563,30022.021692477476,30098.425285876692
2025-12-14,62267.56499785891,62236.72198827832,63258.50458844529,63597.7667953088
2025-12-15,62552.502065815694,61475.882552485484,63197.061100522646,63850.58864551244
2025-12-16,61821.26785493748,62115.10588842582,62864.56784894861,63117.86025206846
2025-12-17,61226.04985367674,60804.84048026598,61011.04044244046,61067.2756669759
2025-12-18,60924.35280732084,60471.2554894432,61913.60542566061,62290.44386470325
