日期,主方案紧急量/kWh,官方三点紧急量/kWh
2025-08-14,36.86957306667843,36.869573066680374
2025-08-15,9.381828647292423e-12,9.690914737348066e-12
2025-08-16,8.814282637104043e-12,9.297451697420911e-12
2025-08-17,20.481066666681464,20.481066666680157
2025-08-18,188.18657160001786,188.18657160001644
2025-08-19,157.9600558000219,157.96005580002128
2025-08-20,216.4552644081253,75.95890986668884
2025-08-21,4.364680000015202,4.3646800000178665
2025-08-22,1.9472033333431067,1.5399903574575546e-11
2025-08-23,1.0089706847793423e-11,1.2806644633656106e-11
2025-08-24,1.9352297542241104e-11,1.8645307520159804e-11
2025-08-25,2.845101931825411e-11,2.09126049810493e-11
2025-08-26,5.700793466686305,5.700793466687292
2025-08-27,14.042593333349158,14.042593333349856
2025-08-28,95.12447193335451,95.12447193335402
2025-08-29,1.6464385410586146e-11,1.4822143512560615e-11
2025-08-30,1.5202950010007044e-11,1.5297096922495257e-11
2025-08-31,50.216587266683156,38.0652649333516
2025-09-01,1.3862688774679555e-11,1.3805845355818747e-11
2025-09-02,7.499778575947857e-12,6.636469151999336e-12
2025-09-03,8.455458555545192e-12,8.910205906431656e-12
2025-09-04,1.1002754263245151e-11,1.2116530001549108e-11
2025-09-05,1.3415046851150692e-11,1.2590817277668975e-11
2025-09-06,1.8403056856186595e-11,1.8403056856186595e-11
2025-09-07,7.0912165028858e-12,7.545963853772264e-12
2025-09-08,1.9100054871046268e-11,1.6928458634879462e-11
2025-09-09,1.191935439237568e-11,9.78417347141658e-12
2025-09-10,1.2162271190163665e-11,129.19244193334737
2025-09-11,1.290523243824282e-11,1.2541079286165768e-11
2025-09-12,1.1853629189317871e-11,1.0796252780664872e-11
2025-09-13,1.2951417716067226e-11,1.1679546219056647e-11
2025-09-14,1.8718138150575214e-11,1.9807044893127568e-11
2025-09-15,1.1717666666892128,1.1717666666899023
2025-09-16,8.238266666687966,8.238266666687942
2025-09-17,2.0466295325149986e-11,1.992805920281171e-11
2025-09-18,1.9562393371863607e-11,1.9003618123569765e-11
2025-09-19,1.3150036615172667e-11,1.4225509659127056e-11
2025-09-20,1.2053691378355325e-11,1.5050405366423547e-11
2025-09-21,1.8965273795856774e-11,1.8331114404190885e-11
2025-09-22,14.993896333361072,14.993896333360947
2025-09-23,6.375000000014587,6.375000000017685
2025-09-24,1.8494317188810783e-11,2.222433348464392e-11
2025-09-25,15.371666666687213,15.37166666668331
2025-09-26,1.3217246741525912e-11,1.1877429595408273e-11
2025-09-27,75.90846184334505,74.55926251001635
2025-09-28,5.868333333357416,5.868333333353824
2025-09-29,26.015016666690308,452.98002741269016
2025-09-30,156.7982280652904,34.829883130230726
2025-10-01,1.439381946966023e-11,1.5841106204561584e-11
2025-10-02,1.3496315176553253e-11,1.5762946503627973e-11
2025-10-03,1.0515366355434708e-11,1.1127099242003169e-11
2025-10-04,1.014388573139513e-11,9.869438599707792e-12
2025-10-05,1.787281433962562e-11,1.8103740728747653e-11
2025-10-06,1.589350873132389e-11,1.325739518165392e-11
2025-10-07,1.2540191107746068e-11,1.4172663043154898e-11
2025-10-08,1.887423550783751e-11,2.1097790181556775e-11
2025-10-09,2.1678103756528344e-11,203.4759868560165
2025-10-10,1.269473415277389e-11,1.2259526727120829e-11
2025-10-11,1.2576772956407467e-11,1.3453183012046566e-11
2025-10-12,16.197759400025067,20.929933333354867
2025-10-13,2.1725732324284763e-11,2.0910384535000048e-11
2025-10-14,415.9189654444703,96.4648690540195
2025-10-15,1.6082496445690708e-11,1.5439455269827818e-11
