日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-07-25,1.0,0.0,0.0,0.6,0.2,0.2,0.9466666666666668,0.05333333333333334,0.0,0.6266666666666667,0.08000000000000002,0.29333333333333333
2025-07-26,1.0,0.0,0.0,0.6,0.2,0.2,0.9333333333333333,0.06666666666666667,0.0,0.6266666666666666,0.08000000000000002,0.29333333333333333
2025-07-27,1.0,0.0,0.0,0.6,0.2,0.2,0.92,0.08000000000000002,0.0,0.6266666666666666,0.08000000000000002,0.29333333333333333
2025-07-28,1.0,0.0,0.0,0.6,0.2,0.2,0.9066666666666667,0.09333333333333334,0.0,0.64,0.08000000000000002,0.28
2025-07-29,0.8,0.2,0.0,0.6,0.0,0.4,0.8933333333333333,0.10666666666666667,0.0,0.64,0.08000000000000002,0.28
2025-07-30,0.8,0.2,0.0,0.6,0.0,0.4,0.8800000000000001,0.12000000000000002,0.0,0.64,0.08000000000000002,0.28
2025-07-31,0.8,0.2,0.0,0.6,0.0,0.4,0.8666666666666667,0.13333333333333333,0.0,0.6533333333333334,0.06666666666666667,0.2800000000000001
2025-08-01,0.8,0.2,0.0,0.6,0.0,0.4,0.8400000000000001,0.16000000000000003,0.0,0.64,0.08000000000000002,0.28
2025-08-02,0.8,0.2,0.0,0.6,0.0,0.4,0.8133333333333334,0.18666666666666668,0.0,0.6266666666666667,0.09333333333333334,0.28
2025-08-03,0.8,0.2,0.0,0.6,0.0,0.4,0.8,0.2,0.0,0.6133333333333333,0.10666666666666667,0.28
2025-08-04,0.8,0.2,0.0,0.8,0.0,0.2,0.7733333333333334,0.22666666666666668,0.0,0.5866666666666667,0.13333333333333333,0.28
2025-08-05,0.8,0.2,0.0,0.8,0.0,0.2,0.7466666666666667,0.25333333333333335,0.0,0.5466666666666667,0.17333333333333334,0.28
2025-08-06,0.8,0.2,0.0,0.8,0.0,0.2,0.7066666666666667,0.29333333333333333,0.0,0.5066666666666667,0.22666666666666668,0.26666666666666666
2025-08-07,0.8,0.2,0.0,0.8,0.0,0.2,0.6666666666666667,0.3333333333333333,0.0,0.4666666666666667,0.28,0.2533333333333333
2025-08-08,0.6,0.4,0.0,0.4,0.4,0.2,0.6266666666666667,0.37333333333333335,0.0,0.4266666666666667,0.3333333333333333,0.24000000000000002
2025-08-09,0.6,0.4,0.0,0.4,0.4,0.2,0.6,0.4000000000000001,0.0,0.3866666666666667,0.3866666666666667,0.22666666666666668
2025-08-10,0.8,0.2,0.0,0.4,0.4,0.2,0.5733333333333335,0.4266666666666667,0.0,0.3466666666666667,0.44000000000000006,0.21333333333333335
2025-08-11,0.6,0.4,0.0,0.2,0.6,0.2,0.5466666666666667,0.4533333333333333,0.0,0.3066666666666667,0.49333333333333335,0.2
2025-08-12,0.6,0.4,0.0,0.0,0.8,0.2,0.5066666666666667,0.49333333333333335,0.0,0.29333333333333333,0.52,0.18666666666666668
2025-08-13,0.2,0.8,0.0,0.0,0.8,0.2,0.46666666666666673,0.5333333333333333,0.0,0.28,0.5466666666666667,0.17333333333333334
2025-08-14,0.2,0.8,0.0,0.0,0.8,0.2,0.4533333333333333,0.5466666666666667,0.0,0.22666666666666668,0.5866666666666667,0.18666666666666668
2025-08-15,0.2,0.8,0.0,0.0,0.8,0.2,0.4533333333333333,0.5466666666666666,0.0,0.17333333333333334,0.6266666666666667,0.2
2025-08-16,0.4,0.6,0.0,0.0,0.8,0.2,0.45333333333333337,0.5466666666666666,0.0,0.14666666666666667,0.64,0.21333333333333335
2025-08-17,0.4,0.6,0.0,0.0,0.8,0.2,0.44,0.56,0.0,0.11999999999999998,0.6666666666666666,0.21333333333333335
2025-08-18,0.4,0.6,0.0,0.0,0.8,0.2,0.41333333333333333,0.5866666666666666,0.0,0.09333333333333332,0.6933333333333334,0.21333333333333335
2025-08-19,0.2,0.8,0.0,0.6,0.4,0.0,0.41333333333333333,0.5866666666666667,0.0,0.09333333333333332,0.6799999999999999,0.22666666666666666
2025-08-20,0.2,0.8,0.0,0.6,0.4,0.0,0.4266666666666667,0.5733333333333335,0.0,0.09333333333333332,0.6666666666666666,0.24000000000000002
2025-08-21,0.6,0.4,0.0,0.0,0.6,0.4,0.4666666666666667,0.5333333333333333,0.0,0.09333333333333332,0.6666666666666666,0.24000000000000002
2025-08-22,0.8,0.2,0.0,0.0,0.6,0.4,0.52,0.48000000000000004,0.0,0.09333333333333332,0.6533333333333332,0.25333333333333335
2025-08-23,0.6,0.4,0.0,0.0,0.6,0.4,0.56,0.44000000000000006,0.0,0.09333333333333332,0.64,0.26666666666666666
2025-08-24,0.4,0.6,0.0,0.0,0.8,0.2,0.5866666666666667,0.4133333333333333,0.0,0.09333333333333332,0.6266666666666667,0.28
2025-08-25,0.4,0.6,0.0,0.0,0.8,0.2,0.6,0.4,0.0,0.10666666666666666,0.6,0.29333333333333333
2025-08-26,0.6,0.4,0.0,0.2,0.4,0.4,0.6,0.4,0.0,0.14666666666666664,0.56,0.29333333333333333
2025-08-27,0.8,0.2,0.0,0.0,0.6,0.4,0.6133333333333333,0.38666666666666666,0.0,0.14666666666666667,0.5466666666666666,0.3066666666666667
2025-08-28,0.8,0.2,0.0,0.0,0.8,0.2,0.6400000000000001,0.36000000000000004,0.0,0.14666666666666664,0.5333333333333333,0.32000000000000006
2025-08-29,1.0,0.0,0.0,0.0,0.6,0.4,0.64,0.36,0.0,0.16,0.5333333333333333,0.3066666666666667
2025-08-30,0.8,0.2,0.0,0.0,0.6,0.4,0.6266666666666667,0.37333333333333335,0.0,0.1733333333333333,0.5333333333333333,0.29333333333333333
2025-08-31,0.8,0.2,0.0,0.0,0.6,0.4,0.6266666666666667,0.3733333333333333,0.0,0.2,0.52,0.28
2025-09-01,0.6,0.4,0.0,0.2,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0.21333333333333332,0.5066666666666666,0.28
2025-09-02,0.4,0.6,0.0,0.6,0.2,0.2,0.6799999999999999,0.32,0.0,0.2533333333333333,0.4666666666666667,0.28
2025-09-03,0.4,0.6,0.0,0.6,0.2,0.2,0.68,0.32000000000000006,0.0,0.25333333333333335,0.4799999999999999,0.26666666666666666
2025-09-04,0.6,0.4,0.0,0.6,0.2,0.2,0.6666666666666666,0.3333333333333333,0.0,0.26666666666666666,0.48000000000000004,0.25333333333333335
2025-09-05,0.6,0.4,0.0,0.2,0.6,0.2,0.6533333333333334,0.3466666666666667,0.0,0.28,0.4666666666666667,0.25333333333333335
2025-09-06,0.6,0.4,0.0,0.2,0.6,0.2,0.6400000000000001,0.36000000000000004,0.0,0.28,0.48000000000000004,0.24000000000000005
2025-09-07,0.6,0.4,0.0,0.4,0.4,0.2,0.64,0.36000000000000004,0.0,0.28,0.49333333333333335,0.22666666666666666
2025-09-08,1.0,0.0,0.0,0.2,0.6,0.2,0.64,0.36000000000000004,0.0,0.28,0.5066666666666667,0.21333333333333335
2025-09-09,0.6,0.4,0.0,0.6,0.2,0.2,0.6533333333333334,0.3466666666666667,0.0,0.26666666666666666,0.5333333333333333,0.2
2025-09-10,0.6,0.4,0.0,0.2,0.6,0.2,0.6799999999999999,0.32,0.0,0.22666666666666666,0.5733333333333334,0.2
